run_id,scenario,condition,latency,tamper,applicable,target_index,records_clean,m,verifier,detected,expected,errors
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T0,1,,21,11,V1,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T0,1,,21,11,V2,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T0,1,,21,11,V3,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T0,1,,21,11,V3p,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T0,1,,21,11,V4,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T0,1,,21,11,V4p,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T1,1,10,21,11,V1,1,D,invalid chain at 10
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T1,1,10,21,11,V2,1,D,minority_warning-monitor-l0-c0-b1-complete: invalid chain at 10
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T1,1,10,21,11,V3,1,D,minority_warning-monitor-l0-c0-b1-complete: invalid chain at 10
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T1,1,10,21,11,V3p,1,D,invalid chain at 10; invalid chain at 10
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T1,1,10,21,11,V4,1,D,minority_warning-monitor-l0-c0-b1-complete: invalid chain at 10
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T1,1,10,21,11,V4p,1,D,invalid chain at 10; invalid chain at 10
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T2,1,10,21,11,V1,1,D,invalid chain at 10; invalid chain at 11; invalid chain at 12; invalid chain at 13; invalid chain at 14; invalid chain at 15; invalid chain at 16; invalid chain at 17; invalid chain at 18; invalid chain at 19
