condition,delay,n_alert_events,completed_before_containment,first_alert_ts,first_containment_ts,detection_latency_seconds_median,detection_latency_seconds_max
monitor,0,229,1,2026-05-26T08:01:00Z,2026-05-26T10:22:00Z,6565717,8766470
monitor,2,229,2,2026-05-26T08:01:00Z,2026-05-26T11:36:00Z,6565717,8766470
monitor,6,229,6,2026-05-26T08:01:00Z,2026-05-26T13:35:00Z,6565717,8766470
critic,0,229,1,2026-05-26T08:01:00Z,2026-05-26T10:22:00Z,6565717,8766470
critic,2,229,2,2026-05-26T08:01:00Z,2026-05-26T11:36:00Z,6565717,8766470
critic,6,229,6,2026-05-26T08:01:00Z,2026-05-26T13:35:00Z,6565717,8766470
delegate,0,229,1,2026-05-26T08:01:00Z,2026-05-26T10:22:00Z,6565717,8766470
delegate,2,229,2,2026-05-26T08:01:00Z,2026-05-26T11:36:00Z,6565717,8766470
delegate,6,229,6,2026-05-26T08:01:00Z,2026-05-26T13:35:00Z,6565717,8766470
layered,0,229,1,2026-05-26T08:01:00Z,2026-05-26T10:22:00Z,6565717,8766470
layered,2,229,1,2026-05-26T08:01:00Z,2026-05-26T10:22:00Z,6565717,8766470
layered,6,229,1,2026-05-26T08:01:00Z,2026-05-26T10:22:00Z,6565717,8766470
matched_monitor,0,229,1,2026-05-26T08:01:00Z,2026-05-26T10:22:00Z,6565717,8766470
matched_monitor,2,229,2,2026-05-26T08:01:00Z,2026-05-26T11:36:00Z,6565717,8766470
matched_monitor,6,229,6,2026-05-26T08:01:00Z,2026-05-26T13:35:00Z,6565717,8766470
gates_only,0,229,1,2026-05-26T08:01:00Z,2026-05-26T10:22:00Z,6565717,8766470
gates_only,2,229,2,2026-05-26T08:01:00Z,2026-05-26T11:36:00Z,6565717,8766470
gates_only,6,229,6,2026-05-26T08:01:00Z,2026-05-26T13:35:00Z,6565717,8766470
