model,valid,treatment,control,metric,n_pairs,difference,bootstrap_lo,bootstrap_hi
qwen-standard,False,queue,log,any_invalid_reuse,12,0.08333333333333333,-0.16666666666666666,0.3333333333333333
qwen-standard,False,queue,log,reported,12,0.08333333333333333,0.0,0.25
qwen-standard,False,queue,log,final_correct,12,-0.3333333333333333,-1.0,0.25
qwen-standard,False,queue,log,invalid_reuse_accepted,12,0.25,-0.25,0.75
qwen-standard,False,queue,log,false_blocks,12,0.0,0.0,0.0
qwen-standard,False,monitor,queue,any_invalid_reuse,12,0.16666666666666666,-0.08333333333333333,0.4166666666666667
qwen-standard,False,monitor,queue,reported,12,0.0,-0.25,0.25
qwen-standard,False,monitor,queue,final_correct,12,0.16666666666666666,-0.16666666666666666,0.5833333333333334
qwen-standard,False,monitor,queue,invalid_reuse_accepted,12,0.5,-0.16666666666666666,1.1666666666666667
qwen-standard,False,monitor,queue,false_blocks,12,0.0,0.0,0.0
qwen-standard,False,delegate,queue,any_invalid_reuse,12,0.16666666666666666,-0.08333333333333333,0.4166666666666667
qwen-standard,False,delegate,queue,reported,12,0.0,-0.25,0.25
qwen-standard,False,delegate,queue,final_correct,12,-0.08333333333333333,-0.4166666666666667,0.25
qwen-standard,False,delegate,queue,invalid_reuse_accepted,12,0.3333333333333333,-0.25,0.9166666666666666
qwen-standard,False,delegate,queue,false_blocks,12,0.0,0.0,0.0
qwen-standard,False,delegate,monitor,any_invalid_reuse,12,0.0,0.0,0.0
qwen-standard,False,delegate,monitor,reported,12,0.0,-0.25,0.25
qwen-standard,False,delegate,monitor,final_correct,12,-0.25,-0.5833333333333334,0.0
qwen-standard,False,delegate,monitor,invalid_reuse_accepted,12,-0.16666666666666666,-0.4166666666666667,0.0
qwen-standard,False,delegate,monitor,false_blocks,12,0.0,0.0,0.0
qwen-standard,False,quarantine,queue,any_invalid_reuse,12,0.25,0.08333333333333333,0.4166666666666667
qwen-standard,False,quarantine,queue,reported,12,-0.08333333333333333,-0.25,0.0
qwen-standard,False,quarantine,queue,final_correct,12,-0.25,-0.5833333333333334,0.08333333333333333
qwen-standard,False,quarantine,queue,invalid_reuse_accepted,12,1.0,0.4166666666666667,1.5
qwen-standard,False,quarantine,queue,false_blocks,12,0.0,0.0,0.0
qwen-standard,True,queue,log,any_invalid_reuse,12,0.0,0.0,0.0
qwen-standard,True,queue,log,reported,12,0.0,0.0,0.0
qwen-standard,True,queue,log,final_correct,12,-0.08333333333333333,-0.4166666666666667,0.25
qwen-standard,True,queue,log,invalid_reuse_accepted,12,0.0,0.0,0.0
qwen-standard,True,queue,log,false_blocks,12,0.0,0.0,0.0
qwen-standard,True,monitor,queue,any_invalid_reuse,12,0.0,0.0,0.0
qwen-standard,True,monitor,queue,reported,12,0.0,0.0,0.0
qwen-standard,True,monitor,queue,final_correct,12,0.08333333333333333,-0.3333333333333333,0.4166666666666667
qwen-standard,True,monitor,queue,invalid_reuse_accepted,12,0.0,0.0,0.0
qwen-standard,True,monitor,queue,false_blocks,12,0.0,0.0,0.0
qwen-standard,True,delegate,queue,any_invalid_reuse,12,0.0,0.0,0.0
qwen-standard,True,delegate,queue,reported,12,0.0,0.0,0.0
qwen-standard,True,delegate,queue,final_correct,12,0.0,-0.4166666666666667,0.4166666666666667
qwen-standard,True,delegate,queue,invalid_reuse_accepted,12,0.0,0.0,0.0
qwen-standard,True,delegate,queue,false_blocks,12,0.0,0.0,0.0
qwen-standard,True,delegate,monitor,any_invalid_reuse,12,0.0,0.0,0.0
qwen-standard,True,delegate,monitor,reported,12,0.0,0.0,0.0
qwen-standard,True,delegate,monitor,final_correct,12,-0.08333333333333333,-0.5,0.4166666666666667
qwen-standard,True,delegate,monitor,invalid_reuse_accepted,12,0.0,0.0,0.0
qwen-standard,True,delegate,monitor,false_blocks,12,0.0,0.0,0.0
qwen-standard,True,quarantine,queue,any_invalid_reuse,12,0.0,0.0,0.0
qwen-standard,True,quarantine,queue,reported,12,0.0,0.0,0.0
qwen-standard,True,quarantine,queue,final_correct,12,0.08333333333333333,-0.25,0.4166666666666667
qwen-standard,True,quarantine,queue,invalid_reuse_accepted,12,0.0,0.0,0.0
qwen-standard,True,quarantine,queue,false_blocks,12,0.0,0.0,0.0
qwen-abliterated,False,queue,log,any_invalid_reuse,12,0.0,0.0,0.0
qwen-abliterated,False,queue,log,reported,12,0.3333333333333333,0.08333333333333333,0.5833333333333334
qwen-abliterated,False,queue,log,final_correct,12,-0.5,-0.9166666666666666,-0.08333333333333333
qwen-abliterated,False,queue,log,invalid_reuse_accepted,12,0.08333333333333333,-0.3333333333333333,0.5833333333333334
qwen-abliterated,False,queue,log,false_blocks,12,0.0,0.0,0.0
qwen-abliterated,False,monitor,queue,any_invalid_reuse,12,0.0,0.0,0.0
qwen-abliterated,False,monitor,queue,reported,12,-0.3333333333333333,-0.5833333333333334,-0.08333333333333333
qwen-abliterated,False,monitor,queue,final_correct,12,0.16666666666666666,-0.25,0.5833333333333334
qwen-abliterated,False,monitor,queue,invalid_reuse_accepted,12,0.4166666666666667,0.08333333333333333,0.75
qwen-abliterated,False,monitor,queue,false_blocks,12,0.0,0.0,0.0
qwen-abliterated,False,delegate,queue,any_invalid_reuse,12,0.0,0.0,0.0
