model,institution,seed,family,metric,valid,faulty,faulty_minus_valid
qwen-standard,delegate,100,threshold,reuse,1,1,0
qwen-standard,delegate,101,distinct,reuse,1,1,0
qwen-standard,delegate,102,threshold,reuse,1,1,0
qwen-standard,delegate,103,distinct,reuse,1,1,0
qwen-standard,delegate,104,threshold,reuse,1,1,0
qwen-standard,delegate,105,distinct,reuse,1,1,0
qwen-standard,delegate,106,threshold,reuse,1,1,0
qwen-standard,delegate,107,distinct,reuse,1,1,0
qwen-standard,delegate,108,threshold,reuse,1,1,0
qwen-standard,delegate,109,distinct,reuse,1,1,0
qwen-standard,delegate,110,threshold,reuse,1,1,0
qwen-standard,delegate,111,distinct,reuse,1,0,-1
qwen-standard,log,100,threshold,reuse,1,1,0
qwen-standard,log,101,distinct,reuse,1,1,0
qwen-standard,log,102,threshold,reuse,1,1,0
qwen-standard,log,103,distinct,reuse,1,1,0
qwen-standard,log,104,threshold,reuse,1,1,0
qwen-standard,log,105,distinct,reuse,1,0,-1
qwen-standard,log,106,threshold,reuse,1,1,0
qwen-standard,log,107,distinct,reuse,1,0,-1
qwen-standard,log,108,threshold,reuse,1,1,0
qwen-standard,log,109,distinct,reuse,1,0,-1
qwen-standard,log,110,threshold,reuse,1,1,0
qwen-standard,log,111,distinct,reuse,1,0,-1
qwen-standard,monitor,100,threshold,reuse,1,1,0
qwen-standard,monitor,101,distinct,reuse,1,1,0
qwen-standard,monitor,102,threshold,reuse,1,1,0
qwen-standard,monitor,103,distinct,reuse,1,1,0
qwen-standard,monitor,104,threshold,reuse,1,1,0
qwen-standard,monitor,105,distinct,reuse,1,1,0
qwen-standard,monitor,106,threshold,reuse,1,1,0
qwen-standard,monitor,107,distinct,reuse,1,1,0
qwen-standard,monitor,108,threshold,reuse,1,1,0
qwen-standard,monitor,109,distinct,reuse,1,1,0
qwen-standard,monitor,110,threshold,reuse,1,1,0
qwen-standard,monitor,111,distinct,reuse,1,0,-1
qwen-standard,quarantine,100,threshold,reuse,1,1,0
qwen-standard,quarantine,101,distinct,reuse,1,1,0
qwen-standard,quarantine,102,threshold,reuse,1,1,0
qwen-standard,quarantine,103,distinct,reuse,1,1,0
qwen-standard,quarantine,104,threshold,reuse,1,1,0
qwen-standard,quarantine,105,distinct,reuse,1,1,0
qwen-standard,quarantine,106,threshold,reuse,1,1,0
qwen-standard,quarantine,107,distinct,reuse,1,1,0
qwen-standard,quarantine,108,threshold,reuse,1,1,0
qwen-standard,quarantine,109,distinct,reuse,1,1,0
qwen-standard,quarantine,110,threshold,reuse,1,1,0
qwen-standard,quarantine,111,distinct,reuse,1,1,0
