control,delay,visible,suppressed,bypass,invalid_artifact,report_tick,delivery_tick,decision_tick,effective_decision_tick,exposures,invalid_accepted,invalid_after_report,valid_completed,false_blocks,gate_rejections
log_only,0,False,False,False,False,,,,,6,0,0,6,0,0
log_only,0,False,False,False,True,,,,,6,6,0,0,0,0
log_only,0,False,False,True,False,,,,,6,0,0,6,0,0
log_only,0,False,False,True,True,,,,,6,6,0,0,0,0
log_only,0,False,True,False,False,,,,,6,0,0,6,0,0
log_only,0,False,True,False,True,,,,,6,6,0,0,0,0
log_only,0,False,True,True,False,,,,,6,0,0,6,0,0
log_only,0,False,True,True,True,,,,,6,6,0,0,0,0
log_only,0,True,False,False,False,1,1,,,6,0,0,6,0,0
log_only,0,True,False,False,True,1,1,,,6,6,5,0,0,0
log_only,0,True,False,True,False,1,1,,,6,0,0,6,0,0
log_only,0,True,False,True,True,1,1,,,6,6,5,0,0,0
log_only,0,True,True,False,False,1,,,,6,0,0,6,0,0
log_only,0,True,True,False,True,1,,,,6,6,5,0,0,0
log_only,0,True,True,True,False,1,1,,,6,0,0,6,0,0
log_only,0,True,True,True,True,1,1,,,6,6,5,0,0,0
log_only,2,False,False,False,False,,,,,6,0,0,6,0,0
log_only,2,False,False,False,True,,,,,6,6,0,0,0,0
log_only,2,False,False,True,False,,,,,6,0,0,6,0,0
log_only,2,False,False,True,True,,,,,6,6,0,0,0,0
log_only,2,False,True,False,False,,,,,6,0,0,6,0,0
log_only,2,False,True,False,True,,,,,6,6,0,0,0,0
log_only,2,False,True,True,False,,,,,6,0,0,6,0,0
log_only,2,False,True,True,True,,,,,6,6,0,0,0,0
log_only,2,True,False,False,False,1,1,,,6,0,0,6,0,0
log_only,2,True,False,False,True,1,1,,,6,6,5,0,0,0
log_only,2,True,False,True,False,1,1,,,6,0,0,6,0,0
log_only,2,True,False,True,True,1,1,,,6,6,5,0,0,0
log_only,2,True,True,False,False,1,,,,6,0,0,6,0,0
log_only,2,True,True,False,True,1,,,,6,6,5,0,0,0
log_only,2,True,True,True,False,1,1,,,6,0,0,6,0,0
log_only,2,True,True,True,True,1,1,,,6,6,5,0,0,0
log_only,6,False,False,False,False,,,,,6,0,0,6,0,0
log_only,6,False,False,False,True,,,,,6,6,0,0,0,0
log_only,6,False,False,True,False,,,,,6,0,0,6,0,0
log_only,6,False,False,True,True,,,,,6,6,0,0,0,0
log_only,6,False,True,False,False,,,,,6,0,0,6,0,0
