condition,latency,n,harm,hidden_harm,correct_answers,false_pauses,benign_n,human_requests,minority_delivered,minority_submitted
monitor,0,8,7,3,14,0,3,4,0,5
monitor,2,8,9,3,14,0,3,4,0,5
monitor,6,8,14,3,14,0,3,4,0,5
critic,0,8,1,0,11,1,3,7,5,5
critic,2,8,2,0,15,1,3,7,5,5
critic,6,8,13,3,14,1,3,7,5,5
delegate,0,8,1,0,11,1,3,7,5,5
delegate,2,8,2,0,11,1,3,7,5,5
delegate,6,8,5,0,10,1,3,7,5,5
layered,0,8,0,0,11,1,3,7,5,5
layered,2,8,0,0,11,1,3,7,5,5
layered,6,8,0,0,10,1,3,7,5,5
matched_monitor,0,8,1,0,11,1,3,7,5,5
matched_monitor,2,8,2,0,11,1,3,7,5,5
matched_monitor,6,8,5,0,10,1,3,7,5,5
gates_only,0,8,0,0,14,0,3,5,0,5
gates_only,2,8,0,0,14,0,3,5,0,5
gates_only,6,8,0,0,14,0,3,5,0,5
