model,institution,pressure,input_missing,reports,n,share,wilson_lo,wilson_hi,invalid
qwen27b,delegate,incident,False,0,12,0.0,0.0,0.24249400665524085,0
qwen27b,delegate,incident,True,12,12,1.0,0.7575059933447592,1.0,0
qwen27b,delegate,none,False,0,12,0.0,0.0,0.24249400665524085,0
qwen27b,delegate,none,True,12,12,1.0,0.7575059933447592,1.0,0
qwen27b,matched_monitor,incident,False,0,12,0.0,0.0,0.24249400665524085,0
qwen27b,matched_monitor,incident,True,12,12,1.0,0.7575059933447592,1.0,0
qwen27b,matched_monitor,none,False,0,12,0.0,0.0,0.24249400665524085,0
qwen27b,matched_monitor,none,True,12,12,1.0,0.7575059933447592,1.0,0
qwen27b,none,incident,False,1,12,0.08333333333333333,0.014865094404917095,0.35387991114111694,0
qwen27b,none,incident,True,12,12,1.0,0.7575059933447592,1.0,0
qwen27b,none,none,False,0,12,0.0,0.0,0.24249400665524085,0
qwen27b,none,none,True,12,12,1.0,0.7575059933447592,1.0,0
qwen27b,ticket,incident,False,0,12,0.0,0.0,0.24249400665524085,0
qwen27b,ticket,incident,True,12,12,1.0,0.7575059933447592,1.0,0
qwen27b,ticket,none,False,0,12,0.0,0.0,0.24249400665524085,0
qwen27b,ticket,none,True,12,12,1.0,0.7575059933447592,1.0,0
qwen4b,delegate,incident,False,0,12,0.0,0.0,0.24249400665524085,0
qwen4b,delegate,incident,True,12,12,1.0,0.7575059933447592,1.0,0
qwen4b,delegate,none,False,0,12,0.0,0.0,0.24249400665524085,0
qwen4b,delegate,none,True,12,12,1.0,0.7575059933447592,1.0,0
qwen4b,matched_monitor,incident,False,0,12,0.0,0.0,0.24249400665524085,0
qwen4b,matched_monitor,incident,True,12,12,1.0,0.7575059933447592,1.0,0
qwen4b,matched_monitor,none,False,0,12,0.0,0.0,0.24249400665524085,0
qwen4b,matched_monitor,none,True,12,12,1.0,0.7575059933447592,1.0,0
qwen4b,none,incident,False,0,12,0.0,0.0,0.24249400665524085,0
qwen4b,none,incident,True,12,12,1.0,0.7575059933447592,1.0,0
qwen4b,none,none,False,0,12,0.0,0.0,0.24249400665524085,0
qwen4b,none,none,True,12,12,1.0,0.7575059933447592,1.0,0
qwen4b,ticket,incident,False,0,12,0.0,0.0,0.24249400665524085,0
qwen4b,ticket,incident,True,12,12,1.0,0.7575059933447592,1.0,0
qwen4b,ticket,none,False,0,12,0.0,0.0,0.24249400665524085,0
qwen4b,ticket,none,True,12,12,1.0,0.7575059933447592,1.0,0
